Zeit_UTC;°C_Umgebung;kW_gemessen;kW_gem_Umluftkassetten
2019-12-20 08:30:00;11.8;5.100432;1.268618
2019-12-20 08:40:00;12.0;5.27511;1.3166
2019-12-20 08:50:00;12.0;5.36234;0.890706
2019-12-20 09:00:00;12.1;5.353502;1.16244
2019-12-20 09:10:00;12.4;5.401022;1.272234
2019-12-20 09:20:00;12.7;5.399812;1.033428
2019-12-20 09:30:00;13.0;5.41839;1.048002
2019-12-20 09:40:00;13.4;5.420216;1.390672
2019-12-20 09:50:00;13.5;5.424788;1.036624
2019-12-20 10:00:00;13.9;5.444068;1.451988
2019-12-20 10:10:00;13.8;5.415714;0.812324
2019-12-20 10:20:00;14.1;5.436032;1.294084
2019-12-20 10:30:00;14.1;5.435764;1.361104
2019-12-20 10:40:00;13.6;5.431624;1.290716
2019-12-20 10:50:00;14.5;5.442245;1.122702
2019-12-20 11:00:00;14.4;5.437036;0.685734
2019-12-20 11:10:00;14.4;5.403918;1.184668
2019-12-20 11:20:00;14.4;5.353672;1.315546
2019-12-20 11:30:00;14.1;5.319912;1.134206
2019-12-20 11:40:00;14.3;5.329902;0.803538
2019-12-20 11:50:00;15.3;5.329664;0.87524
2019-12-20 12:00:00;14.8;5.32833;1.267378
2019-12-20 12:10:00;15.1;5.411818;1.074266
2019-12-20 12:20:00;15.2;5.410002;0.786188
2019-12-20 12:30:00;14.6;5.370655;1.320023
2019-12-20 12:40:00;14.0;5.401734;0.99382
2019-12-20 12:50:00;14.1;5.405648;0.795406
2019-12-20 13:00:00;14.0;5.399192;1.10509
2019-12-20 13:10:00;13.7;5.376276;1.206368
2019-12-20 13:20:00;13.7;5.321358;1.253818
2019-12-20 13:30:00;14.3;5.339142;1.020228
2019-12-20 13:40:00;13.9;5.364564;0.963034
2019-12-20 13:50:00;13.2;5.319224;0.994606
2019-12-20 14:00:00;12.8;5.322596;0.92193
2019-12-20 14:10:00;13.2;5.31792;1.085045
2019-12-20 14:20:00;13.2;5.310572;1.07494
2019-12-20 14:30:00;13.0;5.302882;0.98484
2019-12-20 14:40:00;13.1;5.318024;0.972244
2019-12-20 14:50:00;12.7;5.298756;1.011356
2019-12-20 15:00:00;12.5;5.276952;1.106894
2019-12-20 15:10:00;12.6;5.275516;0.955936
2019-12-20 15:20:00;12.6;5.26368;0.995772
2019-12-20 15:30:00;12.5;5.254718;0.969526
2019-12-20 15:40:00;12.8;5.256754;0.983656
2019-12-20 15:50:00;13.1;5.267786;1.018442
2019-12-20 16:00:00;12.6;5.267734;0.779344
2019-12-20 16:10:00;12.8;5.257565;1.039992
2019-12-20 16:20:00;12.6;5.262624;1.208982
2019-12-20 16:30:00;12.5;5.26695;1.12141
2019-12-20 16:40:00;12.3;5.25667;1.062658
2019-12-20 16:50:00;12.0;5.264898;0.971522
2019-12-20 17:00:00;12.4;5.248218;0.960286
2019-12-20 17:10:00;12.2;5.24578;0.934565
