Zeit_CET/CEST;°C_Umgebung;kW_gemessen;kW_Baseline
2021-03-04 00:00:00;7.0;0.088856;8.515447
2021-03-04 00:10:00;7.4;0.089139;8.317833
2021-03-04 00:20:00;6.6;0.08908;8.713061
2021-03-04 00:30:00;6.9;0.089223;8.56485
2021-03-04 00:40:00;6.9;0.089099;8.56485
2021-03-04 00:50:00;7.0;0.0895;8.515447
2021-03-04 01:00:00;7.6;0.089287;8.219026
2021-03-04 01:10:00;7.3;0.089494;8.367236
2021-03-04 01:20:00;6.7;0.089486;8.663657
2021-03-04 01:30:00;6.1;0.109217;8.960078
2021-03-04 01:40:00;6.8;0.092657;8.614254
2021-03-04 01:50:00;6.6;0.089243;8.713061
2021-03-04 02:00:00;6.8;0.108481;8.614254
2021-03-04 02:10:00;6.9;0.092886;8.56485
2021-03-04 02:20:00;6.7;0.089524;8.663657
2021-03-04 02:30:00;6.9;0.089399;8.56485
2021-03-04 02:40:00;6.9;0.089525;8.56485
2021-03-04 02:50:00;7.0;0.089364;8.515447
2021-03-04 03:00:00;7.1;0.089416;8.466043
2021-03-04 03:10:00;7.3;0.088975;8.367236
2021-03-04 03:20:00;6.4;0.089534;8.811868
2021-03-04 03:30:00;6.1;0.089068;8.960078
2021-03-04 03:40:00;5.7;0.089643;9.157692
2021-03-04 03:50:00;5.9;0.089556;9.058885
2021-03-04 04:00:00;6.4;0.089622;8.811868
2021-03-04 04:10:00;6.2;0.089543;8.910675
2021-03-04 04:20:00;5.9;0.089555;9.058885
2021-03-04 04:30:00;5.4;0.089297;9.305903
2021-03-04 04:40:00;5.3;0.089315;9.355306
2021-03-04 04:50:00;5.8;0.089252;9.108289
2021-03-04 05:00:00;5.9;0.089028;9.058885
2021-03-04 05:10:00;5.7;0.088895;9.157692
2021-03-04 05:20:00;5.6;0.088834;9.207096
2021-03-04 05:30:00;5.6;0.088876;9.207096
2021-03-04 05:40:00;5.7;0.088586;9.157692
2021-03-04 05:50:00;5.4;0.088935;9.305903
2021-03-04 06:00:00;5.1;0.088457;9.454113
2021-03-04 06:10:00;5.2;0.08795;9.404709
2021-03-04 06:20:00;5.0;0.088797;9.503516
2021-03-04 06:30:00;4.8;0.088249;9.67026
2021-03-04 06:40:00;4.6;0.088282;9.73794
2021-03-04 06:50:00;4.6;0.088401;9.73794
2021-03-04 07:00:00;4.5;0.088083;9.771779
2021-03-04 07:10:00;4.8;0.087795;9.67026
2021-03-04 07:20:00;4.7;0.087737;9.7041
2021-03-04 07:30:00;4.6;0.101128;9.73794
2021-03-04 07:40:00;4.8;0.098556;9.67026
2021-03-04 07:50:00;4.5;0.088021;9.771779
