Zeit_UTC;°C_Umgebung;kW_gemessen;kW_Baseline
2021-10-01 00:00:00;1.2;0.088705;10.888485
2021-10-01 00:10:00;1.1;0.088811;10.922325
2021-10-01 00:20:00;1.3;0.088546;10.854646
2021-10-01 00:30:00;1.3;0.08883;10.854646
2021-10-01 00:40:00;1.2;0.088801;10.888485
2021-10-01 00:50:00;1.4;0.09816;10.820806
2021-10-01 01:00:00;1.2;0.102891;10.888485
2021-10-01 01:10:00;1.1;0.12771;10.922325
2021-10-01 01:20:00;1.1;0.105965;10.922325
2021-10-01 01:30:00;1.3;0.10222;10.854646
2021-10-01 01:40:00;1.0;0.113367;10.956164
2021-10-01 01:50:00;0.8;0.0966;11.023844
2021-10-01 02:00:00;0.8;0.09986;11.023844
2021-10-01 02:10:00;0.4;0.113371;11.159202
2021-10-01 02:20:00;0.7;0.10242;11.057683
2021-10-01 02:30:00;0.6;0.123014;11.091523
2021-10-01 02:40:00;0.9;0.088171;10.990004
2021-10-01 02:50:00;0.8;0.099539;11.023844
2021-10-01 03:00:00;0.9;0.105445;10.990004
2021-10-01 03:10:00;0.5;0.109332;11.125362
2021-10-01 03:20:00;0.9;0.097286;10.990004
2021-10-01 03:30:00;0.6;0.104498;11.091523
2021-10-01 03:40:00;0.6;0.132294;11.091523
2021-10-01 03:50:00;0.5;0.106116;11.125362
2021-10-01 04:00:00;0.6;0.103493;11.091523
2021-10-01 04:10:00;0.8;0.113224;11.023844
2021-10-01 04:20:00;0.6;0.087785;11.091523
2021-10-01 04:30:00;0.9;0.087883;10.990004
2021-10-01 04:40:00;0.7;0.087882;11.057683
2021-10-01 04:50:00;0.4;0.08827;11.159202
2021-10-01 05:00:00;0.7;0.088119;11.057683
2021-10-01 05:10:00;0.3;0.087929;11.193042
2021-10-01 05:20:00;0.6;0.09492;11.091523
2021-10-01 05:30:00;0.2;0.106086;11.226881
2021-10-01 05:40:00;0.4;0.110084;11.159202
2021-10-01 05:50:00;0.5;0.097305;11.125362
2021-10-01 06:00:00;1.0;0.103319;10.956164
