Zeit_UTC;°C_Umgebung;kW_gemessen;kW_Baseline
2022-06-29 16:40:00;27.3;0.838589;22.019796
2022-06-29 16:50:00;26.9;8.544799;20.295256
2022-06-29 17:00:00;26.9;2.111706;20.295256
2022-06-29 17:10:00;27.4;3.516435;21.074503
2022-06-29 17:20:00;27.4;1.285943;21.074503
2022-06-29 17:30:00;27.2;3.763303;20.762804
2022-06-29 17:40:00;27.2;-999.0;21.884361
2022-06-29 17:50:00;27.2;4.784227;20.762804
2022-06-29 18:00:00;27.2;5.793693;20.762804
2022-06-29 18:10:00;27.2;11.944324;20.762804
2022-06-29 18:20:00;26.6;7.826398;19.827708
2022-06-29 18:30:00;26.5;10.325939;19.671859
2022-06-29 18:40:00;26.1;12.132603;19.048462
2022-06-29 18:50:00;25.7;11.544495;18.425064
2022-06-29 19:00:00;25.6;11.672128;18.269215
2022-06-29 19:10:00;25.2;11.430905;17.645818
2022-06-29 19:20:00;25.4;11.211681;17.957516
2022-06-29 19:30:00;25.0;11.121513;17.334119
2022-06-29 19:40:00;24.8;11.065282;17.02242
2022-06-29 19:50:00;24.2;11.102432;16.087324
2022-06-29 20:00:00;23.5;10.884293;15.249504
2022-06-29 20:10:00;22.9;10.820708;14.495879
2022-06-29 20:20:00;22.7;11.079144;14.24467
2022-06-29 20:30:00;22.4;10.082671;13.867858
2022-06-29 20:40:00;23.0;8.997179;14.621483
2022-06-29 20:50:00;22.7;9.002518;14.24467
2022-06-29 21:00:00;22.0;9.066445;13.365441
2022-06-29 21:10:00;21.8;8.864029;13.114232
2022-06-29 21:20:00;21.6;8.932576;12.863024
2022-06-29 21:30:00;21.5;8.925592;12.73742
2022-06-29 21:40:00;21.4;8.891317;12.611815
2022-06-29 21:50:00;21.3;8.844889;12.486211
2022-06-29 22:00:00;21.6;8.809552;12.863024
2022-06-29 22:10:00;21.0;8.183972;12.109398
2022-06-29 22:20:00;20.6;7.175004;11.606982
2022-06-29 22:30:00;20.6;10.869664;11.606982
2022-06-29 22:40:00;20.7;9.67845;11.732586
2022-06-29 22:50:00;20.6;8.953966;11.606982
2022-06-29 23:00:00;20.4;8.917844;11.355773
2022-06-29 23:10:00;20.3;8.917698;11.230169
2022-06-29 23:20:00;20.4;8.957038;11.355773
2022-06-29 23:30:00;20.1;8.918565;10.97896
2022-06-29 23:40:00;19.8;8.83175;10.602148
2022-06-29 23:50:00;20.2;3.924861;11.104565
2022-06-30 00:00:00;20.2;0.361471;12.403926
2022-06-30 00:10:00;20.3;0.089284;12.539361
2022-06-30 00:20:00;19.9;0.089622;11.997621
2022-06-30 00:30:00;19.8;0.089864;11.862187
2022-06-30 00:40:00;19.8;0.109172;11.862187
2022-06-30 00:50:00;20.0;0.29545;12.133056
2022-06-30 01:00:00;20.5;0.29452;12.81023
2022-06-30 01:10:00;19.6;0.29497;11.591317
2022-06-30 01:20:00;19.5;0.319354;11.455882
2022-06-30 01:30:00;19.8;0.295273;11.862187
2022-06-30 01:40:00;19.7;0.295742;11.726752
2022-06-30 01:50:00;19.5;0.31924;11.455882
2022-06-30 02:00:00;18.9;0.294295;10.643273
2022-06-30 02:10:00;18.6;0.294856;10.236969
2022-06-30 02:20:00;18.4;0.29482;9.9661
2022-06-30 02:30:00;18.6;0.294597;10.236969
2022-06-30 02:40:00;18.9;0.294541;10.643273
2022-06-30 02:50:00;19.0;0.293655;10.778708
2022-06-30 03:00:00;18.6;0.293807;10.236969
2022-06-30 03:10:00;18.2;0.293207;9.69523
2022-06-30 03:20:00;18.1;0.294163;9.559795
2022-06-30 03:30:00;18.4;0.294189;9.9661
2022-06-30 03:40:00;18.2;0.292601;9.69523
2022-06-30 03:50:00;17.9;0.293815;9.288926
2022-06-30 04:00:00;17.9;0.292486;9.288926
2022-06-30 04:10:00;18.5;0.292281;10.101534
2022-06-30 04:20:00;18.6;0.355999;10.236969
2022-06-30 04:30:00;18.6;0.367595;10.236969
2022-06-30 04:40:00;19.8;0.324359;11.862187
2022-06-30 04:50:00;20.2;0.361822;12.403926
2022-06-30 05:00:00;21.2;0.369721;13.758274
2022-06-30 05:10:00;20.9;0.370039;13.351969
2022-06-30 05:20:00;21.7;0.370197;14.435448
