Zeit_CET/CEST;°C_Umgebung;kW_gemessen;kW_Baseline
2021-11-19 10:50:00;5.0;7.85342;10.53068
2021-11-19 11:00:00;5.5;8.592587;10.051122
2021-11-19 11:10:00;5.4;8.4287;10.147034
2021-11-19 11:20:00;5.6;10.110148;9.955211
2021-11-19 11:30:00;6.0;7.721728;9.571565
2021-11-19 11:40:00;6.1;7.793443;9.512241
2021-11-19 11:50:00;6.3;7.96397;9.512241
2021-11-19 12:00:00;6.7;8.151832;9.512241
2021-11-19 12:10:00;6.7;8.515117;9.512241
2021-11-19 12:20:00;6.8;8.916435;9.512241
2021-11-19 12:30:00;7.0;6.563766;9.512241
2021-11-19 12:40:00;7.0;6.653813;9.512241
2021-11-19 12:50:00;7.2;4.983331;9.512241
2021-11-19 13:00:00;7.3;4.15766;9.512241
2021-11-19 13:10:00;7.1;-999.0;-999.0
2021-11-19 13:20:00;7.0;-999.0;-999.0
2021-11-19 13:30:00;7.3;-999.0;-999.0
2021-11-19 13:40:00;7.4;-999.0;-999.0
2021-11-19 13:50:00;7.4;-999.0;-999.0
2021-11-19 14:00:00;7.5;-999.0;-999.0
2021-11-19 14:10:00;7.5;5.53225;9.512241
2021-11-19 14:20:00;7.5;-999.0;-999.0
2021-11-19 14:30:00;7.5;-999.0;-999.0
2021-11-19 14:40:00;7.5;-999.0;-999.0
2021-11-19 14:50:00;7.5;-999.0;-999.0
2021-11-19 15:00:00;7.4;-999.0;-999.0
2021-11-19 15:10:00;7.4;-999.0;-999.0
2021-11-19 15:20:00;7.4;-999.0;-999.0
2021-11-19 15:30:00;7.3;-999.0;-999.0
2021-11-19 15:40:00;7.2;-999.0;-999.0
2021-11-19 15:50:00;7.2;-999.0;-999.0
2021-11-19 16:00:00;7.1;-999.0;-999.0
2021-11-19 16:10:00;7.1;-999.0;-999.0
2021-11-19 16:20:00;7.0;-999.0;-999.0
2021-11-19 16:30:00;7.0;-999.0;-999.0
2021-11-19 16:40:00;6.9;-999.0;-999.0
2021-11-19 16:50:00;6.9;-999.0;-999.0
2021-11-19 17:00:00;6.8;-999.0;-999.0
2021-11-19 17:10:00;6.9;-999.0;-999.0
2021-11-19 17:20:00;6.8;-999.0;-999.0
2021-11-19 17:30:00;6.8;-999.0;-999.0
2021-11-19 17:40:00;6.8;-999.0;-999.0
2021-11-19 17:50:00;6.7;-999.0;-999.0
2021-11-19 18:00:00;6.7;-999.0;-999.0
2021-11-19 18:10:00;6.7;-999.0;-999.0
2021-11-19 18:20:00;6.7;-999.0;-999.0
2021-11-19 18:30:00;6.7;-999.0;-999.0
2021-11-19 18:40:00;6.7;-999.0;-999.0
2021-11-19 18:50:00;6.7;-999.0;-999.0
2021-11-19 19:00:00;6.6;-999.0;-999.0
2021-11-19 19:10:00;6.6;-999.0;-999.0
2021-11-19 19:20:00;6.6;5.55974;9.512241
2021-11-19 19:30:00;6.5;-999.0;-999.0
2021-11-19 19:40:00;6.4;-999.0;-999.0
2021-11-19 19:50:00;6.4;-999.0;-999.0
2021-11-19 20:00:00;6.3;-999.0;-999.0
